Calculating IDF values for terms...
--------------------------------------------------
Total Documents: 3204

Term: 'preliminari' | Document Frequency: 19
Term: '1' | Document Frequency: 101
Term: '1' | Inverse Document Frequency: 1.5013711336295574
Term: 'recurs' | Document Frequency: 77
Term: 'recurs' | Inverse Document Frequency: 1.6192017822397182
Term: 'curv' | Document Frequency: 52
Term: 'curv' | Inverse Document Frequency: 1.7896891637774008
Term: 'fit' | Document Frequency: 58
Term: 'fit' | Inverse Document Frequency: 1.7422645138492627
Term: 'giblin' | Document Frequency: 1
Term: 'giblin' | Inverse Document Frequency: 3.5056925074122
Term: 'secant' | Document Frequency: 4
Term: 'secant' | Inverse Document Frequency: 2.9036325160842376
Term: 'modif' | Document Frequency: 39
Term: 'modif' | Inverse Document Frequency: 1.914627900385701
Term: 'newton' | Document Frequency: 22
Term: 'newton' | Inverse Document Frequency: 2.163269826589994
Term: 's' | Document Frequency: 549
Term: 's' | Inverse Document Frequency: 0.7661201629621082
Term: 'method' | Document Frequency: 527
Term: 'method' | Inverse Document Frequency: 0.7838818921996534
Term: 'jeev' | Document Frequency: 1
Term: 'jeev' | Inverse Document Frequency: 3.5056925074122
Term: 'arithmet' | Document Frequency: 89
Term: 'arithmet' | Inverse Document Frequency: 1.5563025007672873
Term: 'oper' | Document Frequency: 373
Term: 'oper' | Inverse Document Frequency: 0.9339836756035124
Term: 'ershov' | Document Frequency: 2
Term: 'ershov' | Inverse Document Frequency: 3.204662511748219
Term: 'p' | Document Frequency: 303
Term: 'p' | Inverse Document Frequency: 1.024249878909895
Term: 'simpl' | Document Frequency: 159
Term: 'simpl' | Inverse Document Frequency: 1.3042953830917485
Term: 'automat' | Document Frequency: 139
Term: 'automat' | Inverse Document Frequency: 1.3626777071581049
Term: 'code' | Document Frequency: 190
Term: 'code' | Inverse Document Frequency: 1.226938906459371
Term: 'system' | Document Frequency: 710
Term: 'system' | Inverse Document Frequency: 0.6544341586931248
Term: 'adam' | Document Frequency: 8
Term: 'adam' | Inverse Document Frequency: 2.6026025204202563
Term: 'schlesing' | Document Frequency: 2
Term: 'schlesing' | Inverse Document Frequency: 3.204662511748219
Term: 'acceler' | Document Frequency: 7
Term: 'acceler' | Inverse Document Frequency: 2.660594467397943
Term: 'converg' | Document Frequency: 32
Term: 'converg' | Inverse Document Frequency: 2.0005425290922942
Term: 'iter' | Document Frequency: 66
Term: 'iter' | Inverse Document Frequency: 1.6861485718703313
Term: 'process' | Document Frequency: 437
Term: 'process' | Inverse Document Frequency: 0.8652110704417783
Term: 'discuss' | Document Frequency: 354
Term: 'discuss' | Inverse Document Frequency: 0.9566892453864123
Term: 'appli' | Document Frequency: 122
Term: 'appli' | Inverse Document Frequency: 1.419332676737452
Term: 'equat' | Document Frequency: 163
Term: 'equat' | Inverse Document Frequency: 1.2935049030082422
Term: 'rate' | Document Frequency: 42
Term: 'rate' | Inverse Document Frequency: 1.8824432170142997
Term: 'if' | Document Frequency: 101
Term: 'if' | Inverse Document Frequency: 1.5013711336295574
Term: 'induc' | Document Frequency: 9
Term: 'induc' | Inverse Document Frequency: 2.5514499979728753
Term: 'diverg' | Document Frequency: 3
Term: 'diverg' | Inverse Document Frequency: 3.0285712526925375
Term: 'illustr' | Document Frequency: 99
Term: 'illustr' | Inverse Document Frequency: 1.5100573128146502
Term: 'given' | Document Frequency: 361
Term: 'given' | Inverse Document Frequency: 0.9481853055065421
Term: 'formul' | Document Frequency: 33
Term: 'formul' | Inverse Document Frequency: 1.9871785675343125
Term: 'flow' | Document Frequency: 42
Term: 'flow' | Inverse Document Frequency: 1.8824432170142997
Term: 'diagram' | Document Frequency: 15
Term: 'diagram' | Inverse Document Frequency: 2.3296012483565187
Term: 'voorhe' | Document Frequency: 3
Term: 'voorhe' | Inverse Document Frequency: 3.0285712526925375
Term: 'unusu' | Document Frequency: 8
Term: 'unusu' | Inverse Document Frequency: 2.6026025204202563
Term: 'applic' | Document Frequency: 275
Term: 'applic' | Inverse Document Frequency: 1.0663598135819374
Term: 'implement' | Document Frequency: 249
Term: 'implement' | Inverse Document Frequency: 1.1094931603164637
Term: 'logic' | Document Frequency: 87
Term: 'logic' | Inverse Document Frequency: 1.5661732547935816
Term: 'morri' | Document Frequency: 16
Term: 'morri' | Inverse Document Frequency: 2.301572524756275
Term: 'wohr' | Document Frequency: 1
Term: 'wohr' | Inverse Document Frequency: 3.5056925074122
Term: 'binari' | Document Frequency: 79
Term: 'binari' | Inverse Document Frequency: 1.6080654161217587
Term: 'truthfunct' | Document Frequency: 1
Term: 'truthfunct' | Inverse Document Frequency: 3.5056925074122
Term: 'decim' | Document Frequency: 18
Term: 'decim' | Inverse Document Frequency: 2.250420002308894
Term: 'command' | Document Frequency: 36
Term: 'command' | Inverse Document Frequency: 1.9493900066449128
Term: 'kautz' | Document Frequency: 2
Term: 'kautz' | Inverse Document Frequency: 3.204662511748219
Term: 'improv' | Document Frequency: 71
Term: 'improv' | Inverse Document Frequency: 1.6544341586931248
Term: 'redund' | Document Frequency: 24
Term: 'redund' | Inverse Document Frequency: 2.125481265700594
Term: 'check' | Document Frequency: 32
Term: 'check' | Inverse Document Frequency: 2.0005425290922942
Term: 'sisson' | Document Frequency: 1
Term: 'sisson' | Inverse Document Frequency: 3.5056925074122
Term: 'l' | Document Frequency: 313
Term: 'l' | Inverse Document Frequency: 1.0101481698657515
Term: 'gener' | Document Frequency: 502
Term: 'gener' | Inverse Document Frequency: 0.8049887902671807
Term: 'purpos' | Document Frequency: 111
Term: 'purpos' | Inverse Document Frequency: 1.4603695286255425
Term: 'holt' | Document Frequency: 6
Term: 'holt' | Inverse Document Frequency: 2.727541257028556
Term: 'subroutin' | Document Frequency: 54
Term: 'subroutin' | Inverse Document Frequency: 1.7732987475892314
Term: 'calcul' | Document Frequency: 98
Term: 'calcul' | Inverse Document Frequency: 1.5144664317197052
Term: 'logarithm' | Document Frequency: 21
Term: 'logarithm' | Inverse Document Frequency: 2.183473212678281
Term: 'bemer' | Document Frequency: 12
Term: 'bemer' | Inverse Document Frequency: 2.4265112613645754
Term: 'note' | Document Frequency: 96
Term: 'note' | Inverse Document Frequency: 1.5234212743726316
Term: 'empir' | Document Frequency: 42
Term: 'empir' | Inverse Document Frequency: 1.8824432170142997
Term: 'bound' | Document Frequency: 71
Term: 'bound' | Inverse Document Frequency: 1.6544341586931248
Term: 'bessel' | Document Frequency: 16
Term: 'bessel' | Inverse Document Frequency: 2.301572524756275
Term: 'function' | Document Frequency: 381
Term: 'function' | Inverse Document Frequency: 0.9247675317365807
Term: 'randel' | Document Frequency: 7
Term: 'randel' | Inverse Document Frequency: 2.660594467397943
Term: 'b' | Document Frequency: 268
Term: 'b' | Inverse Document Frequency: 1.077557713383411
Term: 'request' | Document Frequency: 37
Term: 'request' | Inverse Document Frequency: 1.937490783345205
Term: 'corlei' | Document Frequency: 1
Term: 'corlei' | Inverse Document Frequency: 3.5056925074122
Term: 'algorithm' | Document Frequency: 1333
Term: 'algorithm' | Inverse Document Frequency: 0.38086235799834084
Term: 'selden' | Document Frequency: 1
Term: 'selden' | Inverse Document Frequency: 3.5056925074122
Term: 'analyz' | Document Frequency: 93
Term: 'analyz' | Inverse Document Frequency: 1.537209558858265
Term: 'statement' | Document Frequency: 84
Term: 'statement' | Inverse Document Frequency: 1.5814132213503185
Term: 'produc' | Document Frequency: 101
Term: 'produc' | Inverse Document Frequency: 1.5013711336295574
Term: 'truth' | Document Frequency: 1
Term: 'truth' | Inverse Document Frequency: 3.5056925074122
Term: 'tabl' | Document Frequency: 113
Term: 'tabl' | Inverse Document Frequency: 1.4526140639287803
Term: 'wolp' | Document Frequency: 1
Term: 'wolp' | Inverse Document Frequency: 3.5056925074122
Term: 'ibm' | Document Frequency: 93
Term: 'ibm' | Inverse Document Frequency: 1.537209558858265
Term: '704' | Document Frequency: 3
Term: '704' | Inverse Document Frequency: 3.0285712526925375
Term: 'codenundrum' | Document Frequency: 1
Term: 'codenundrum' | Inverse Document Frequency: 3.5056925074122
Term: 'grumett' | Document Frequency: 1
Term: 'grumett' | Inverse Document Frequency: 3.5056925074122
Term: 'variablewidth' | Document Frequency: 1
Term: 'variablewidth' | Inverse Document Frequency: 3.5056925074122
Term: 'binarysearch' | Document Frequency: 1
Term: 'binarysearch' | Inverse Document Frequency: 3.5056925074122
Term: 'facil' | Document Frequency: 67
Term: 'facil' | Inverse Document Frequency: 1.6796177047113736
Term: 'halpern' | Document Frequency: 3
Term: 'halpern' | Inverse Document Frequency: 3.0285712526925375
Term: 'counter' | Document Frequency: 8
Term: 'counter' | Inverse Document Frequency: 2.6026025204202563
Term: 'type' | Document Frequency: 127
Term: 'type' | Inverse Document Frequency: 1.4018887864562433
Term: '650' | Document Frequency: 6
Term: '650' | Inverse Document Frequency: 2.727541257028556
Term: 'kenni' | Document Frequency: 1
Term: 'kenni' | Inverse Document Frequency: 3.5056925074122
Term: 'c' | Document Frequency: 1611
Term: 'c' | Inverse Document Frequency: 0.298596966992982
Term: 'hunter' | Document Frequency: 4
Term: 'hunter' | Inverse Document Frequency: 2.9036325160842376
Term: 'wilf' | Document Frequency: 1
Term: 'wilf' | Inverse Document Frequency: 3.5056925074122
Term: 'queue' | Document Frequency: 30
Term: 'queue' | Inverse Document Frequency: 2.0285712526925375
Term: 'network' | Document Frequency: 87
Term: 'network' | Inverse Document Frequency: 1.5661732547935816
Term: 'simul' | Document Frequency: 131
Term: 'simul' | Inverse Document Frequency: 1.3884212117564358
Term: 'burrough' | Document Frequency: 7
Term: 'burrough' | Inverse Document Frequency: 2.660594467397943
Term: '220' | Document Frequency: 3
Term: '220' | Inverse Document Frequency: 3.0285712526925375
Term: 'johnson' | Document Frequency: 11
Term: 'johnson' | Inverse Document Frequency: 2.464299822253975
Term: 'maxwel' | Document Frequency: 4
Term: 'maxwel' | Inverse Document Frequency: 2.9036325160842376
Term: 'impact' | Document Frequency: 22
Term: 'impact' | Inverse Document Frequency: 2.163269826589994
Term: 'develop' | Document Frequency: 286
Term: 'develop' | Inverse Document Frequency: 1.0493264742831572
Term: 'humphrei' | Document Frequency: 1
Term: 'humphrei' | Inverse Document Frequency: 3.5056925074122
Term: 'interpret' | Document Frequency: 57
Term: 'interpret' | Inverse Document Frequency: 1.7498176517397086
Term: 'algol' | Document Frequency: 122
Term: 'algol' | Inverse Document Frequency: 1.419332676737452
Term: 'iron' | Document Frequency: 10
Term: 'iron' | Inverse Document Frequency: 2.5056925074122
Term: 'acton' | Document Frequency: 3
Term: 'acton' | Inverse Document Frequency: 3.0285712526925375
Term: 'simultan' | Document Frequency: 50
Term: 'simultan' | Inverse Document Frequency: 1.8067225030761813
Term: 'nonlinear' | Document Frequency: 37
Term: 'nonlinear' | Inverse Document Frequency: 1.937490783345205
Term: 'wolf' | Document Frequency: 4
Term: 'wolf' | Inverse Document Frequency: 2.9036325160842376
Term: 'notnecessarilylinear' | Document Frequency: 1
Term: 'notnecessarilylinear' | Inverse Document Frequency: 3.5056925074122
Term: 'singl' | Document Frequency: 62
Term: 'singl' | Inverse Document Frequency: 1.7133008179139462
Term: 'on' | Document Frequency: 289
Term: 'on' | Inverse Document Frequency: 1.0447946646556523
Term: 'variabl' | Document Frequency: 141
Term: 'variabl' | Inverse Document Frequency: 1.3564733947568202
Term: 'finger' | Document Frequency: 1
Term: 'finger' | Inverse Document Frequency: 3.5056925074122
Term: 'fist' | Document Frequency: 1
Term: 'fist' | Inverse Document Frequency: 3.5056925074122
Term: 'choic' | Document Frequency: 34
Term: 'choic' | Inverse Document Frequency: 1.974213590369945
Term: 'represent' | Document Frequency: 100
Term: 'represent' | Inverse Document Frequency: 1.5056925074122
Term: 'buchholz' | Document Frequency: 1
Term: 'buchholz' | Inverse Document Frequency: 3.5056925074122
Term: 'number' | Document Frequency: 369
Term: 'number' | Inverse Document Frequency: 0.9386661412531397
Term: 'offer' | Document Frequency: 27
Term: 'offer' | Inverse Document Frequency: 2.0743287432532127
Term: 'mani' | Document Frequency: 145
Term: 'mani' | Inverse Document Frequency: 1.3443245051772252
Term: 'advantag' | Document Frequency: 79
Term: 'advantag' | Inverse Document Frequency: 1.6080654161217587
Term: 'over' | Document Frequency: 107
Term: 'over' | Inverse Document Frequency: 1.4763087297269903
Term: 'highperform' | Document Frequency: 1
Term: 'highperform' | Inverse Document Frequency: 3.5056925074122
Term: 'generalpurpos' | Document Frequency: 15
Term: 'generalpurpos' | Inverse Document Frequency: 2.3296012483565187
Term: 'greater' | Document Frequency: 25
Term: 'greater' | Inverse Document Frequency: 2.1077524987401626
Term: 'simplic' | Document Frequency: 14
Term: 'simplic' | Inverse Document Frequency: 2.359564471733962
Term: 'unit' | Document Frequency: 49
Term: 'unit' | Inverse Document Frequency: 1.8154964273836864
Term: 'compact' | Document Frequency: 25
Term: 'compact' | Inverse Document Frequency: 2.1077524987401626
Term: 'contribut' | Document Frequency: 18
Term: 'contribut' | Inverse Document Frequency: 2.250420002308894
Term: 'directli' | Document Frequency: 39
Term: 'directli' | Inverse Document Frequency: 1.914627900385701
Term: 'speed' | Document Frequency: 61
Term: 'speed' | Inverse Document Frequency: 1.720362672401433
Term: 'less' | Document Frequency: 49
Term: 'less' | Inverse Document Frequency: 1.8154964273836864
Term: 'obviou' | Document Frequency: 10
Term: 'obviou' | Inverse Document Frequency: 2.5056925074122
Term: 'perhap' | Document Frequency: 7
Term: 'perhap' | Inverse Document Frequency: 2.660594467397943
Term: 'more' | Document Frequency: 206
Term: 'more' | Inverse Document Frequency: 1.1918252870430466
Term: 'import' | Document Frequency: 97
Term: 'import' | Inverse Document Frequency: 1.5189207731459553
Term: 'wai' | Document Frequency: 95
Term: 'wai' | Inverse Document Frequency: 1.5279689021233522
Term: 'address' | Document Frequency: 78
Term: 'address' | Inverse Document Frequency: 1.6135979047217197
Term: 'instruct' | Document Frequency: 69
Term: 'instruct' | Inverse Document Frequency: 1.6668434166749446
Term: 'format' | Document Frequency: 50
Term: 'format' | Inverse Document Frequency: 1.8067225030761813
Term: 'increas' | Document Frequency: 86
Term: 'increas' | Inverse Document Frequency: 1.5711940561686324
Term: 'overal' | Document Frequency: 25
Term: 'overal' | Inverse Document Frequency: 2.1077524987401626
Term: 'perform' | Document Frequency: 206
Term: 'perform' | Inverse Document Frequency: 1.1918252870430466
Term: 'also' | Document Frequency: 232
Term: 'also' | Inverse Document Frequency: 1.1402045225213004
Term: 'essenti' | Document Frequency: 38
Term: 'essenti' | Inverse Document Frequency: 1.92590891079539
Term: 'certain' | Document Frequency: 140
Term: 'certain' | Inverse Document Frequency: 1.359564471733962
Term: 'power' | Document Frequency: 75
Term: 'power' | Inverse Document Frequency: 1.6306312440205
Term: 'not' | Document Frequency: 268
Term: 'not' | Inverse Document Frequency: 1.077557713383411
Term: 'practic' | Document Frequency: 86
Term: 'practic' | Inverse Document Frequency: 1.5711940561686324
Term: 'other' | Document Frequency: 234
Term: 'other' | Inverse Document Frequency: 1.136476650002057
Term: 'hand' | Document Frequency: 20
Term: 'hand' | Inverse Document Frequency: 2.204662511748219
Term: 'between' | Document Frequency: 187
Term: 'between' | Inverse Document Frequency: 1.233850900875701
Term: 'man' | Document Frequency: 6
Term: 'man' | Inverse Document Frequency: 2.727541257028556
Term: 'requir' | Document Frequency: 268
Term: 'requir' | Inverse Document Frequency: 1.077557713383411
Term: 'larg' | Document Frequency: 169
Term: 'larg' | Inverse Document Frequency: 1.2778058027985264
Term: 'volum' | Document Frequency: 14
Term: 'volum' | Inverse Document Frequency: 2.359564471733962
Term: 'inher' | Document Frequency: 17
Term: 'inher' | Inverse Document Frequency: 2.275243586033926
Term: 'input' | Document Frequency: 118
Term: 'input' | Inverse Document Frequency: 1.4338105001060746
Term: 'output' | Document Frequency: 69
Term: 'output' | Inverse Document Frequency: 1.6668434166749446
Term: 'data' | Document Frequency: 410
Term: 'data' | Inverse Document Frequency: 0.8929086506924645
Term: 'time' | Document Frequency: 352
Term: 'time' | Inverse Document Frequency: 0.959149843934069
Term: 'decimalbinari' | Document Frequency: 1
Term: 'decimalbinari' | Inverse Document Frequency: 3.5056925074122
Term: 'convers' | Document Frequency: 72
Term: 'convers' | Inverse Document Frequency: 1.6483600109809315
Term: 'need' | Document Frequency: 60
Term: 'need' | Inverse Document Frequency: 1.7275412570285564
Term: 'pure' | Document Frequency: 10
Term: 'pure' | Inverse Document Frequency: 2.5056925074122
Term: 'signific' | Document Frequency: 64
Term: 'signific' | Inverse Document Frequency: 1.699512533428313
Term: 'slower' | Document Frequency: 9
Term: 'slower' | Inverse Document Frequency: 2.5514499979728753
Term: 'adder' | Document Frequency: 3
Term: 'adder' | Inverse Document Frequency: 3.0285712526925375
Term: 'take' | Document Frequency: 49
Term: 'take' | Inverse Document Frequency: 1.8154964273836864
Term: 'than' | Document Frequency: 192
Term: 'than' | Inverse Document Frequency: 1.2223912787086504
Term: 'fast' | Document Frequency: 64
Term: 'fast' | Inverse Document Frequency: 1.699512533428313
Term: 'do' | Document Frequency: 65
Term: 'do' | Inverse Document Frequency: 1.6927791507693446
Term: 'addit' | Document Frequency: 115
Term: 'addit' | Inverse Document Frequency: 1.4449946670585885
Term: 'care' | Document Frequency: 12
Term: 'care' | Inverse Document Frequency: 2.4265112613645754
Term: 'review' | Document Frequency: 36
Term: 'review' | Inverse Document Frequency: 1.9493900066449128
Term: 'supplement' | Document Frequency: 6
Term: 'supplement' | Inverse Document Frequency: 2.727541257028556
Term: 'effici' | Document Frequency: 159
Term: 'effici' | Inverse Document Frequency: 1.3042953830917485
Term: 'research' | Document Frequency: 70
Term: 'research' | Inverse Document Frequency: 1.6605944673979431
Term: 'eastern' | Document Frequency: 2
Term: 'eastern' | Inverse Document Frequency: 3.204662511748219
Term: 'europ' | Document Frequency: 3
Term: 'europ' | Inverse Document Frequency: 3.0285712526925375
Term: 'nadler' | Document Frequency: 4
Term: 'nadler' | Inverse Document Frequency: 2.9036325160842376
Term: 'new' | Document Frequency: 218
Term: 'new' | Inverse Document Frequency: 1.1672360138075952
Term: 'squar' | Document Frequency: 77
Term: 'squar' | Inverse Document Frequency: 1.6192017822397182
Term: 'without' | Document Frequency: 82
Term: 'without' | Inverse Document Frequency: 1.5918786550284834
Term: 'divis' | Document Frequency: 36
Term: 'divis' | Inverse Document Frequency: 1.9493900066449128
Term: 'sarafyan' | Document Frequency: 2
Term: 'sarafyan' | Inverse Document Frequency: 3.204662511748219
Term: 'handl' | Document Frequency: 79
Term: 'handl' | Inverse Document Frequency: 1.6080654161217587
Term: 'macro' | Document Frequency: 28
Term: 'macro' | Inverse Document Frequency: 2.0585344760699806
Term: 'greenwald' | Document Frequency: 2
Term: 'greenwald' | Inverse Document Frequency: 3.204662511748219
Term: 'runciblealgebra' | Document Frequency: 1
Term: 'runciblealgebra' | Inverse Document Frequency: 3.5056925074122
Term: 'translat' | Document Frequency: 94
Term: 'translat' | Inverse Document Frequency: 1.5325646538125013
Term: 'limit' | Document Frequency: 79
Term: 'limit' | Inverse Document Frequency: 1.6080654161217587
Term: 'knuth' | Document Frequency: 21
Term: 'knuth' | Inverse Document Frequency: 2.183473212678281
Term: 'outlininga' | Document Frequency: 1
Term: 'outlininga' | Inverse Document Frequency: 3.5056925074122
Term: 'substitut' | Document Frequency: 15
Term: 'substitut' | Inverse Document Frequency: 2.3296012483565187
Term: 'chart' | Document Frequency: 10
Term: 'chart' | Inverse Document Frequency: 2.5056925074122
Term: 'gant' | Document Frequency: 1
Term: 'gant' | Inverse Document Frequency: 3.5056925074122
Term: 'multiprogram' | Document Frequency: 76
Term: 'multiprogram' | Inverse Document Frequency: 1.6248789151314087
Term: 'stretch' | Document Frequency: 2
Term: 'stretch' | Inverse Document Frequency: 3.204662511748219
Term: 'feasibl' | Document Frequency: 24
Term: 'feasibl' | Inverse Document Frequency: 2.125481265700594
Term: 'consider' | Document Frequency: 65
Term: 'consider' | Inverse Document Frequency: 1.6927791507693446
Term: 'codd' | Document Frequency: 5
Term: 'codd' | Inverse Document Frequency: 2.8067225030761813
Term: 'lowri' | Document Frequency: 2
Term: 'lowri' | Inverse Document Frequency: 3.204662511748219
Term: 'mcdonough' | Document Frequency: 1
Term: 'mcdonough' | Inverse Document Frequency: 3.5056925074122
Term: 'scalzi' | Document Frequency: 1
Term: 'scalzi' | Inverse Document Frequency: 3.5056925074122
Term: 'tendenc' | Document Frequency: 3
Term: 'tendenc' | Inverse Document Frequency: 3.0285712526925375
Term: 'toward' | Document Frequency: 38
Term: 'toward' | Inverse Document Frequency: 1.92590891079539
Term: 'parallel' | Document Frequency: 74
Term: 'parallel' | Inverse Document Frequency: 1.6364607876812238
Term: 'exploit' | Document Frequency: 11
Term: 'exploit' | Inverse Document Frequency: 2.464299822253975
Term: 'present' | Document Frequency: 514
Term: 'present' | Inverse Document Frequency: 0.7947293884169243
Term: 'design' | Document Frequency: 298
Term: 'design' | Inverse Document Frequency: 1.0314762433359448
Term: 'minimum' | Document Frequency: 52
Term: 'minimum' | Inverse Document Frequency: 1.7896891637774008
Term: 'success' | Document Frequency: 42
Term: 'success' | Inverse Document Frequency: 1.8824432170142997
Term: 'concurr' | Document Frequency: 28
Term: 'concurr' | Inverse Document Frequency: 2.0585344760699806
Term: 'execut' | Document Frequency: 129
